id,ball1,ball2,ball3,ball4,team_code,team_name,team_sequence
849,5,8,10,14,CBJ,Columbus,13
850,5,8,11,12,WPG,Winnipeg,51
851,5,8,11,13,NYR,NY Rangers,104
852,5,8,11,14,WPG,Winnipeg,52
853,5,8,12,13,WAS,Washington,4
854,5,8,12,14,VAN,Vancouver,158
855,5,8,13,14,CHI,Chicago,114
856,5,9,10,11,CHI,Chicago,115
857,5,9,10,12,CHI,Chicago,116
858,5,9,10,13,WPG,Winnipeg,53
859,5,9,10,14,NJD,New Jersey,20
860,5,9,11,12,CGY,Calgary,81
861,5,9,11,13,TOR,Toronto,70
862,5,9,11,14,NSH,Nashville,33
863,5,9,12,13,VAN,Vancouver,159
864,5,9,12,14,CGY,Calgary,82
865,5,9,13,14,WAS,Washington,5
